Metric,Value
symbol,EVA
market_cap,31273630
day_high,0.421
day_low,0.4067
52wk_high,1.23
52wk_low,0.0001
previous_close,0.4107
open,0.4145
beta,0.842
p_e_ratio,-0.26910257
