,ticker,sentiment_score,ebitda_scaled,revCAGR5_scaled,ev_ebitda_scaled,roic_scaled,fcf_yield_scaled,sharpe_ratio_scaled,rank_score,implied_upside,volatility,sharpe_ratio,rank
0,BEP,0.6351810134171197,0.27254431662890777,0.26634954696090374,0.5727310480644168,0.9234616915800633,0.9999999999039394,0.9999999964218002,0.9138576187530848,6.387794892794419,22.679570364403983,0.27989043843429257,1
1,JKS,0.5602272977121174,0.8642653246751332,0.9900793824054286,0.5917457695143802,0.9282268982005495,0.0,0.751222526136651,0.865052427837408,14.645197242986676,69.428030320662,0.21036456277861773,2
2,IBDRY,0.6183032079134136,1.0,0.3456945130902743,0.567136392505014,0.9257609102416864,0.0,0.8260554578986103,0.7836356165866551,3.134813940456431,13.381351274077849,0.2312781330575827,3
3,CSIQ,0.6639803692232817,0.10414152219014502,0.6274552546136478,0.5859479803649698,0.9271414266269097,0.7703391907693999,0.20713400489076617,0.6838807853046354,3.8763530780547386,65.79455315994784,0.05830806493553486,4
4,DQ,0.5,0.06668175764510247,0.9999999982036589,8.990586053414518e-13,0.9999999999780566,0.9192403289788608,0.1730353660311184,0.6707609388894481,3.470326277595687,70.32453510560377,0.048778513394286814,5
5,CWEN,0.5618539385031909,0.1340837389909881,0.14671214360174945,0.5818323748212582,0.9237377793619558,0.9692528684150684,0.3275260060786057,0.6516769789785541,1.9222373189545183,20.469328181818092,0.09195403494612091,6
6,DRXGY,0.5,0.15170356551336303,0.5251022735623226,0.589246440258242,0.9341309740047747,0.9638924862303226,0.09064617497620452,0.6512549514178473,1.1079468610313905,41.468520418721134,0.02575319423620577,7
7,RUN,0.0382380448281765,0.06368979354703656,0.7164901890916575,1.0,0.9200282981807105,0.8243610163369517,0.10972407418746664,0.6443808838253504,1.982687874570923,62.496196909103695,0.03108489749218541,8
8,BW,0.5,0.06588125112171102,0.4654287861442367,0.8548283695295504,0.9119139282071886,0.8530691916854692,0.06339840188725424,0.6326126484608849,1.2006924503768943,63.99140607226011,0.018138255144233305,9
9,NEE,0.0182198788970708,0.9425385754776087,0.3279558043303824,0.5778413158618844,0.9256116756050261,0.9491521718565732,0.019045433745761127,0.630766942237358,0.1388714572046908,17.216220330447396,0.005742924713262044,10
10,ARRY,0.4873088272288441,0.07557275737466285,0.4824934836108698,0.5832556199755734,0.928062376649429,0.9787235135861637,0.0010866305122606194,0.6036993257773613,0.0924092445618555,72.39092180207372,0.0007239753722870009,11
11,ORA,0.7279299177850286,0.09541670347371393,0.19072535015335088,0.5807395650941125,0.9250315926025766,0.952934897528312,0.011686354891056239,0.5816056228469642,0.163324159515279,33.45489127990239,0.0036862818797849285,12
12,VST,0.2509669776385029,0.4685131140561641,0.25093196234275705,0.5835784020648317,0.9262099969248542,0.9593637138819624,0.006238323449944132,0.5783209058825801,0.165874166631407,58.17489394929783,0.002163719743797252,13
13,CCJ,0.4631128241308033,0.10403311978085777,0.32205562858670267,0.5603324927753106,0.9296711706917052,0.9584636802513022,0.001035081235061664,0.564986827244921,0.0677091508797473,39.05068462809742,0.0007095688883213649,14
14,BE,0.0699752918444573,0.06370602409231683,0.4296849400093478,0.7692888700477539,0.9156755628885117,0.9531027226215784,0.0,0.5493543948571412,0.0685136725482286,67.84211246877379,0.00042029458562854754,15
15,ARL,0.5,0.06658176947109187,0.0,0.533076038241555,0.9239826206446883,0.9602789091345754,0.04183790247513478,0.5081532168230558,0.7312993016559141,57.072086450330225,0.012112739250518745,16
16,GPRE,0.5,0.06685087591938091,0.009348483082360273,0.5301009725529187,0.9193199916410855,0.9313687908475319,0.0042896451903603645,0.4918711243600943,0.1328139752884908,57.323633006696305,0.0016191223483279337,17
17,PLUG,0.4458820618955152,0.0,0.0,0.596424759059748,0.7706246113966128,0.8922012734048897,0.010287593590233112,0.4534662476108293,0.3870298609581684,105.30831927120109,0.0032953698564351834,18
18,EVA,0.5,0.05688705718450444,0.2928898878082768,0.6057897885151865,0.0,0.0,0.03361537036556929,0.24306411552627977,54.416824662316294,5540.295943486434,0.009814787010835685,19
