timestamp,volume,vw,open,close,high,low,n,SMA_50,SMA_200,RSI_14
2022-01-03 05:00:00,3702,12.1821,12.65,11.99,12.65,11.9,456,,,
2022-01-04 05:00:00,37188,13.513,12.44,13.7499,14.2234,12.44,292,,,100.0
2022-01-05 05:00:00,19180,13.7704,13.75,13.4673,14.6999,12.9601,245,,,97.58913832596112
2022-01-06 05:00:00,3309,12.8187,13.5,13.01,13.5,12.56,59,,,93.38546898062951
2022-01-07 05:00:00,1251,12.9665,12.51,13.24,13.27,12.51,38,,,93.54678508824772
2022-01-10 05:00:00,2359,13.251,13.24,13.29,13.31,13.1034,58,,,93.58602212573909
2022-01-11 05:00:00,2281,12.6872,13.27,12.85,13.29,12.3901,62,,,88.14419931503859
2022-01-12 05:00:00,206,12.8794,12.87,12.87,12.87,12.87,22,,,88.18024614411516
2022-01-18 05:00:00,2342,12.9079,12.9,12.9,12.9,12.9,42,,,88.24211960113432
2022-01-21 05:00:00,1544,12.9766,12.95,13.0,13.0,12.95,31,,,88.47417654287008
2022-01-24 05:00:00,2371,13.2977,12.98,13.37,13.4694,12.916,59,,,89.36985921668098
2022-01-25 05:00:00,708,13.3633,13.14,13.61,13.61,13.14,26,,,89.9541465518281
2022-01-26 05:00:00,2980,14.2254,13.65,13.83,14.53,13.65,73,,,90.50608679353668
2022-01-27 05:00:00,5523,14.6486,14.12,14.704,14.79,14.12,133,,,92.41609335117997
2022-01-28 05:00:00,2411,14.2969,14.5,13.95,14.55,13.95,89,,,76.99663356528085
2022-01-31 05:00:00,1251,13.4106,12.9101,13.71,13.72,12.9101,83,,,72.55081581299876
2022-02-01 05:00:00,2867,14.5064,13.77,14.82,14.82,13.77,359,,,79.01653418140066
2022-02-02 05:00:00,2581,14.7278,14.54,14.95,14.95,14.5,172,,,79.6638617573611
2022-02-03 05:00:00,291,14.7327,14.71,14.71,14.71,14.71,23,,,74.75158222626763
2022-02-04 05:00:00,803,14.3303,14.0424,14.74,14.74,14.01,42,,,74.97415314537047
2022-02-09 05:00:00,807,14.8817,14.93,14.95,14.95,14.93,57,,,76.63755968012174
2022-02-10 05:00:00,1116,13.7343,13.46,13.94,13.94,13.46,27,,,55.98647974347651
2022-02-11 05:00:00,653,14.1108,14.11,13.98,14.11,13.98,41,,,56.52185540894916
2022-02-16 05:00:00,436,13.5165,13.24,13.24,13.24,13.24,41,,,44.870998022753135
2022-02-17 05:00:00,2058,14.0336,14.08,14.04,14.13,14.03,169,,,56.14683097704046
2022-02-18 05:00:00,395,13.7247,14.03,13.55,14.03,13.55,40,,,49.055750315344326
2022-02-22 05:00:00,553,13.2615,13.41,12.92,13.41,12.92,76,,,41.31493619141426
2022-02-23 05:00:00,670,13.3095,12.9101,13.45,13.45,12.9101,54,,,49.109886683479274
2022-02-24 05:00:00,472,13.0514,13.045,12.94,13.045,12.94,54,,,42.79809785091811
2022-02-28 05:00:00,549,13.3361,13.06,13.06,13.06,13.06,34,,,44.72676545303334
2022-03-01 05:00:00,1340,13.7477,13.3001,13.45,14.2199,13.3001,51,,,50.93096426078895
2022-03-02 05:00:00,10801,13.7158,13.38,13.175,14.3577,13.175,113,,,46.66895044167556
2022-03-04 05:00:00,555,13.363,12.9001,13.55,13.55,12.9001,11,,,52.8739338439187
2022-03-07 05:00:00,198,13.4729,13.41,13.41,13.41,13.41,18,,,50.350405756650716
2022-03-08 05:00:00,656,13.7731,13.43,13.98,13.98,13.43,33,,,59.44367141851173
2022-03-09 05:00:00,241,14.0958,14.16,14.16,14.16,14.16,20,,,61.980856015571185
2022-03-14 04:00:00,489,13.7052,13.55,13.55,13.55,13.55,60,,,49.79886861590633
2022-03-16 04:00:00,1133,13.2785,13.19,13.13,13.57,13.13,49,,,43.07320521594038
2022-03-17 04:00:00,1630,13.5317,13.14,13.73,13.73,13.14,165,,,53.43871130154075
2022-03-18 04:00:00,1887,13.2064,13.12,13.12,13.81,13.12,32,,,44.03323375147964
2022-03-21 04:00:00,5770,13.3518,13.06,13.16,13.5,13.01,131,,,44.76874254398636
2022-03-22 04:00:00,11308,13.1116,14.04,13.9,14.04,12.93,108,,,56.86839528301341
2022-03-23 04:00:00,1675,13.9063,13.69,13.98,14.0473,13.69,48,,,58.01570588040087
2022-03-24 04:00:00,3324,14.3542,13.98,14.3,14.7,13.92,147,,,62.60651493839244
2022-03-25 04:00:00,2419,14.2562,13.989,14.7,14.7,13.93,38,,,67.7004840554086
2022-03-28 04:00:00,1669,14.7204,14.65,14.4445,14.78,14.4445,61,,,61.52345168373393
2022-03-29 04:00:00,2549,14.6607,14.4,15.005,15.03,14.28,46,,,68.74243267064311
2022-03-30 04:00:00,2248,14.7358,15.08,14.79,15.11,14.74,42,,,63.47170354634767
2022-03-31 04:00:00,2639,15.2921,15.07,15.37,15.7,15.07,77,,,70.50987515544709
2022-04-01 04:00:00,4263,16.2435,15.67,16.7,16.92,15.67,209,13.808714,,80.4675616582105
2022-04-04 04:00:00,4907,16.8699,16.93,16.96,16.97,16.73,75,13.908114000000001,,81.84994767850027
2022-04-05 04:00:00,5876,16.7132,16.64,16.45,16.97,16.4227,344,13.962115999999998,,70.54914345118962
2022-04-06 04:00:00,4393,15.7097,16.26,15.63,16.29,15.37,173,14.005370000000001,,56.163304848275054
2022-04-07 04:00:00,4993,16.5283,15.8435,16.97,16.97,15.8435,153,14.08457,,68.33724153959993
2022-04-08 04:00:00,6609,17.3584,16.97,17.5731,17.95,16.96,175,14.171231999999998,,72.32808654578868
2022-04-11 04:00:00,8447,17.7829,17.78,17.745,17.9,17.615,150,14.260331999999998,,73.42949980039404
2022-04-13 04:00:00,3323,17.8569,17.9,17.99,17.99,17.35,146,14.363131999999998,,75.06185041776806
2022-04-14 04:00:00,8635,18.0938,18.0,18.295,18.73,17.9,199,14.471632,,77.08408948850895
2022-04-18 04:00:00,10994,18.1874,18.6,18.14,18.99,18.0199,318,14.576432,,73.58513627407925
2022-04-19 04:00:00,6778,18.5044,18.14,18.97,18.99,18.14,180,14.695832000000001,,79.3707676209737
2022-04-20 04:00:00,10457,19.1973,18.99,19.62,20.0,18.874,242,14.820832000000001,,82.77909645237986
2022-04-21 04:00:00,37331,21.1387,20.0,22.25,23.0199,19.75,476,14.993632,,90.27806402431841
2022-04-22 04:00:00,29035,20.6195,21.72,21.0,21.78,19.21,868,15.137032000000001,,72.87498180879021
2022-04-25 04:00:00,24582,21.0341,19.85,21.35,21.99,19.5217,898,15.269951999999998,,74.46528829972742
2022-04-26 04:00:00,24764,21.0002,21.5,20.12,21.66,19.5001,942,15.393352,,60.16247521728784
2022-04-27 04:00:00,28689,20.3258,19.62,19.415,21.43,18.88,1199,15.507452,,53.38152609949027
2022-04-28 04:00:00,32611,20.2508,19.2,21.44,21.47,18.92,1330,15.639851999999998,,66.05986108832192
