timestamp,volume,vw,open,close,high,low,n,SMA_50,SMA_200,RSI_14
2022-01-03 05:00:00,3925059.0,22.6801,22.82,22.74,22.945,22.34,30237,,,
2022-01-04 05:00:00,4573073.0,22.6812,22.77,22.52,22.96,22.49,29589,,,0.0
2022-01-05 05:00:00,4037960.0,22.2906,22.48,22.11,22.76,22.09,27567,,,0.0
2022-01-06 05:00:00,5284295.0,22.2567,22.18,22.32,22.36,21.96,20158,,,11.6364979682306
2022-01-07 05:00:00,6078308.0,22.6109,22.32,22.71,22.76,22.11,33573,,,29.27261975162638
2022-01-10 05:00:00,4341909.0,22.5105,22.665,22.46,22.78,22.39,25884,,,25.50717832461558
2022-01-11 05:00:00,6657133.0,22.5053,22.55,22.51,22.67,22.315,25637,,,27.654723883842223
2022-01-12 05:00:00,7344458.0,22.803,22.46,22.93,22.99,22.425,30910,,,43.45456453065083
2022-01-13 05:00:00,3709105.0,22.6413,22.9,22.61,22.91,22.53,17265,,,36.45530822230135
2022-01-14 05:00:00,2994310.0,22.5397,22.61,22.59,22.6399,22.355,16860,,,36.03671745590955
2022-01-18 05:00:00,4216411.0,22.4811,22.54,22.44,22.755,22.375,24569,,,32.77954358626137
2022-01-19 05:00:00,7263295.0,22.4925,22.51,22.48,22.67,22.375,29999,,,34.598409427588706
2022-01-20 05:00:00,5162733.0,22.2891,22.53,21.73,22.795,21.7,28060,,,21.82322239122439
2022-01-21 05:00:00,4244498.0,21.7868,21.64,21.72,22.02,21.42,28896,,,21.69995262776662
2022-01-24 05:00:00,5934809.0,21.6786,21.5,21.96,22.01,21.265,33331,,,32.29109113945805
2022-01-25 05:00:00,5173314.0,21.6946,21.75,21.67,21.97,21.45,27890,,,27.167594334845106
2022-01-26 05:00:00,5850483.0,21.7478,21.96,21.53,22.24,21.38,35299,,,24.961461289216757
2022-01-27 05:00:00,4855931.0,21.4458,21.77,21.31,21.95,21.15,30305,,,21.757854944063055
2022-01-28 05:00:00,4707921.0,21.3864,21.29,21.67,21.68,21.135,26972,,,37.019545854155574
2022-01-31 05:00:00,6126055.0,21.7955,21.63,21.81,21.91,21.63,29223,,,42.08830465801016
2022-02-01 05:00:00,4526710.0,21.6632,21.97,21.65,21.99,21.44,29406,,,38.05007336314134
2022-02-02 05:00:00,6964119.0,22.0514,21.81,22.24,22.26,21.53,38282,,,56.0087988985227
2022-02-03 05:00:00,3931228.0,21.9038,21.78,21.85,22.145,21.54,28545,,,45.867371770133126
2022-02-04 05:00:00,5343992.0,21.739,21.71,21.83,22.01,21.26,28715,,,45.38115309334963
2022-02-07 05:00:00,4638854.0,21.9558,21.87,21.98,22.115,21.57,30933,,,49.970618353771236
2022-02-08 05:00:00,4338034.0,22.1701,22.025,22.27,22.37,21.91,29860,,,57.86804830983049
2022-02-09 05:00:00,4984646.0,22.5016,22.45,22.49,22.68,22.34,33661,,,62.982926738403606
2022-02-10 05:00:00,5460189.0,22.205,22.22,22.08,22.53,22.01,31308,,,49.94461190437177
2022-02-11 05:00:00,4527201.0,21.9738,22.16,21.81,22.35,21.625,31854,,,43.15618040665638
2022-02-14 05:00:00,4181034.0,21.5424,21.76,21.6,21.91,21.235,30309,,,38.46434685404122
2022-02-15 05:00:00,2605459.0,21.7916,21.87,21.79,21.95,21.65,22612,,,44.73654594616099
2022-02-16 05:00:00,2270839.0,21.7652,21.72,21.72,21.905,21.61,17369,,,42.87862915872109
2022-02-17 05:00:00,2465623.0,21.5839,21.57,21.49,21.72,21.48,20598,,,37.04578568843327
2022-02-18 05:00:00,2877326.0,21.5082,21.45,21.45,21.75,21.34,22083,,,36.061407096443794
