timestamp,volume,vw,open,close,high,low,n,SMA_50,SMA_200,RSI_14
2022-01-03 05:00:00,3991943.0,15.8265,15.89,15.91,16.16,15.41,33739,,,
2022-01-04 05:00:00,6073745.0,14.8324,15.81,14.97,15.915,14.37,46946,,,0.0
2022-01-05 05:00:00,2968208.0,14.2321,14.92,13.92,15.0614,13.92,27876,,,0.0
2022-01-06 05:00:00,1650133.0,13.8626,13.92,13.84,14.15,13.53,18118,,,0.0
2022-01-07 05:00:00,4686822.0,14.2576,13.92,14.12,14.63,13.76,21060,,,4.888875093121413
2022-01-10 05:00:00,2833235.0,13.7987,13.88,14.01,14.04,13.22,19787,,,4.782881139855746
2022-01-11 05:00:00,2581698.0,14.3409,14.01,14.41,14.54,13.98,16071,,,12.722332509156331
2022-01-12 05:00:00,1672632.0,14.3157,14.7,14.25,15.05,13.98,14420,,,12.250866735378423
2022-01-13 05:00:00,2407254.0,13.6869,14.36,13.47,14.46,13.44,19038,,,10.137653192838044
2022-01-14 05:00:00,3571940.0,13.1323,13.4,13.08,13.62,12.87,25169,,,9.220102188152623
2022-01-18 05:00:00,3915708.0,12.1889,12.67,11.93,12.76,11.92,31579,,,7.049301269175629
2022-01-19 05:00:00,4455019.0,11.8254,12.0,11.52,12.21,11.43,30934,,,6.426835636171262
2022-01-20 05:00:00,5752675.0,11.8769,11.71,11.43,12.37,11.375,36412,,,6.286241588631185
2022-01-21 05:00:00,5497253.0,10.9501,11.1,10.68,11.42,10.67,39093,,,5.193751370220909
2022-01-24 05:00:00,5523378.0,10.4529,10.14,11.01,11.025,9.7,41159,,,12.880496227595529
2022-01-25 05:00:00,6365664.0,10.2417,10.63,10.17,11.0,10.03,52535,,,10.403164234837845
2022-01-26 05:00:00,3820296.0,10.3626,10.64,9.86,10.795,9.77,32418,,,9.615646370691891
2022-01-27 05:00:00,4425743.0,9.2524,10.08,9.02,10.1,9.0,35123,,,7.775375231450511
2022-01-28 05:00:00,6585558.0,9.3248,9.0,9.63,9.675,8.7,33705,,,20.520824304132105
2022-01-31 05:00:00,4331520.0,10.4249,9.61,10.54,10.68,9.61,33353,,,35.79439705484958
2022-02-01 05:00:00,4569613.0,10.7437,10.69,10.89,10.91,10.28,28647,,,40.83975310943619
2022-02-02 05:00:00,4256477.0,10.5324,10.98,10.54,10.98,10.38,28217,,,37.444624158149594
2022-02-03 05:00:00,4566851.0,10.0144,10.3,9.74,10.72,9.66,29323,,,30.711151311099655
2022-02-04 05:00:00,3492500.0,9.89,9.76,9.89,10.17,9.66,26086,,,33.3058478476288
2022-02-07 05:00:00,3118168.0,9.7217,9.89,9.53,10.26,9.5,19206,,,30.176516961360832
2022-02-08 05:00:00,4462666.0,9.6857,9.44,9.76,9.84,9.42,22700,,,34.69945892101478
2022-02-09 05:00:00,5438247.0,10.1351,10.24,10.18,10.42,9.825,29629,,,42.54172304487148
2022-02-10 05:00:00,3617179.0,9.7583,9.76,9.6,10.21,9.5,25079,,,35.708535585589516
2022-02-11 05:00:00,3790520.0,9.1912,9.57,8.99,9.9,8.9,26896,,,29.883602301642867
2022-02-14 05:00:00,2409991.0,9.0394,8.96,8.89,9.4,8.83,18612,,,28.989119466039725
2022-02-15 05:00:00,3992492.0,9.6728,9.32,9.82,9.9,9.16,22419,,,46.25257049633133
2022-02-16 05:00:00,2054266.0,9.657,9.59,9.74,9.85,9.4,18431,,,45.162791478403484
2022-02-17 05:00:00,2306786.0,9.414,9.51,9.3,9.72,9.19,19948,,,39.28822794222761
2022-02-18 05:00:00,2868585.0,9.0949,9.22,8.99,9.43,8.91,21127,,,35.53106541583922
