timestamp,volume,vw,open,close,high,low,n,SMA_50,SMA_200,RSI_14
2022-01-03 05:00:00,7865567.0,91.5889,93.42,91.66,93.65,90.54,71779,,,
2022-01-04 05:00:00,8379249.0,91.0585,91.65,90.68,91.93,90.62,83820,,,0.0
2022-01-05 05:00:00,6722525.0,90.3174,90.28,89.73,91.4953,89.68,75003,,,0.0
2022-01-06 05:00:00,12658587.0,86.8877,89.09,85.77,89.36,85.65,129831,,,0.0
2022-01-07 05:00:00,13359257.0,85.9473,85.77,86.41,86.865,84.51,109250,,,6.687472135532815
2022-01-10 05:00:00,11378664.0,84.3817,85.8,84.29,86.36,83.74,111560,,,5.326104398474584
2022-01-11 05:00:00,8395893.0,84.4292,83.83,84.79,85.01,83.68,87381,,,10.295566974406668
2022-01-12 05:00:00,6484042.0,85.175,84.28,85.09,85.81,84.1,63430,,,13.441070739685628
2022-01-13 05:00:00,7203060.0,85.1593,85.58,84.9,85.81,84.72,69102,,,13.105254257452629
2022-01-14 05:00:00,11084270.0,83.4071,84.88,83.2,85.145,82.67,85296,,,10.418064132109564
2022-01-18 05:00:00,10848139.0,81.3941,82.0,81.25,82.17,80.7,104637,,,8.194261017366117
2022-01-19 05:00:00,9673853.0,82.6731,81.04,82.59,83.351,81.0,94618,,,21.48319176711624
2022-01-20 05:00:00,12028922.0,84.1688,83.32,83.51,85.275,83.15,89916,,,29.560512543352147
2022-01-21 05:00:00,12809062.0,82.8164,83.7,82.6,83.93,81.835,103493,,,26.454483886073206
2022-01-24 05:00:00,14694974.0,80.8782,81.65,81.92,82.045,79.24,143877,,,24.256905746600978
2022-01-25 05:00:00,22925034.0,76.557,78.2,75.1,80.19,74.79,191217,,,12.36763717108154
2022-01-26 05:00:00,24721667.0,74.2541,76.5,72.64,76.5294,72.36,214222,,,10.27217114957287
2022-01-27 05:00:00,21252746.0,73.0625,73.3,72.51,74.39,72.41,179440,,,10.167132645334036
2022-01-28 05:00:00,25537084.0,71.2117,72.32,72.5,72.95,69.79,191853,,,10.157913400632026
2022-01-31 05:00:00,21761787.0,76.5432,72.91,78.12,78.3,72.75,174132,,,43.42455955449072
2022-02-01 05:00:00,12082915.0,77.2767,78.04,77.23,79.47,76.0265,115639,,,40.67265534097835
2022-02-02 05:00:00,8397670.0,77.58,77.42,77.73,78.005,76.83,80851,,,43.013630395970345
2022-02-03 05:00:00,7960725.0,76.0684,76.56,75.77,77.29,75.43,78701,,,36.49941960727451
2022-02-04 05:00:00,12132129.0,75.8778,75.1,76.01,76.84,74.54,83004,,,37.829695677484274
2022-02-07 05:00:00,8184500.0,75.7369,76.0,75.68,76.12,75.3,68423,,,36.61281550158016
2022-02-08 05:00:00,6758461.0,75.6612,75.75,75.46,76.75,75.22,64930,,,35.728740077762325
2022-02-09 05:00:00,7390923.0,76.6877,76.61,76.66,77.27,76.32,68396,,,44.207604169368054
2022-02-10 05:00:00,9673297.0,75.7239,74.91,75.45,76.85,74.7,94661,,,38.32517110705326
